transport_id,module,objects_changed,lines_changed,conflicts,history_failures,transport_stage,change_request_status,risk_level
TR00001,FI,1,104,1,1,Development,Approved,MEDIUM
TR00002,FI,5,64,0,0,Development,Approved,MEDIUM
TR00003,FI,5,35,2,3,Development,Pending,HIGH
TR00004,FI,2,99,1,2,Quality,Approved,MEDIUM
TR00005,SD,1,21,1,0,Quality,Pending,LOW
TR00006,FI,6,68,2,0,Quality,Approved,HIGH
TR00007,SD,5,34,2,0,Development,Rejected,HIGH
TR00008,SD,1,119,0,0,Quality,Pending,MEDIUM
TR00009,SD,2,57,1,1,Production,Pending,LOW
TR00010,FI,5,91,0,1,Development,Pending,MEDIUM
TR00011,MM,6,51,0,1,Development,Pending,LOW
TR00012,FI,2,82,2,2,Development,Rejected,HIGH
TR00013,HR,2,43,0,1,Production,Rejected,LOW
TR00014,HR,5,61,1,1,Development,Rejected,LOW
TR00015,FI,1,29,2,1,Production,Pending,HIGH
TR00016,HR,4,86,1,2,Production,Approved,MEDIUM
TR00017,FI,6,78,1,2,Development,Pending,MEDIUM
TR00018,HR,1,102,2,2,Production,Approved,HIGH
TR00019,FI,6,48,2,1,Development,Pending,HIGH
TR00020,FI,5,51,1,0,Development,Pending,LOW
TR00021,SD,2,17,0,0,Development,Rejected,LOW
TR00022,FI,5,108,0,1,Production,Pending,MEDIUM
TR00023,MM,3,77,2,3,Development,Rejected,HIGH
TR00024,MM,6,49,1,2,Quality,Rejected,MEDIUM
TR00025,MM,2,18,1,0,Production,Rejected,LOW
TR00026,MM,1,19,2,0,Development,Approved,HIGH
TR00027,SD,1,75,0,2,Production,Pending,MEDIUM
TR00028,MM,6,83,2,3,Development,Pending,HIGH
TR00029,MM,1,22,2,3,Quality,Pending,HIGH
TR00030,FI,6,93,2,0,Development,Pending,HIGH
TR00031,FI,2,34,0,3,Development,Pending,HIGH
TR00032,HR,2,19,1,0,Development,Rejected,LOW
TR00033,FI,1,106,0,1,Quality,Pending,MEDIUM
TR00034,HR,1,31,1,0,Quality,Pending,LOW
TR00035,HR,3,64,2,3,Development,Approved,HIGH
TR00036,FI,5,104,2,0,Production,Pending,HIGH
TR00037,HR,5,119,2,1,Development,Rejected,HIGH
TR00038,MM,1,86,0,1,Quality,Approved,MEDIUM
TR00039,MM,5,86,0,0,Quality,Rejected,MEDIUM
TR00040,SD,3,36,2,2,Development,Pending,HIGH
TR00041,SD,4,50,0,0,Quality,Rejected,LOW
TR00042,FI,1,78,0,2,Development,Pending,MEDIUM
TR00043,MM,3,46,0,3,Production,Rejected,HIGH
TR00044,FI,6,114,2,2,Production,Approved,HIGH
TR00045,MM,3,24,0,1,Quality,Pending,LOW
TR00046,SD,2,97,2,2,Production,Pending,HIGH
TR00047,FI,1,91,1,2,Development,Approved,MEDIUM
TR00048,MM,6,43,0,3,Production,Rejected,HIGH
TR00049,FI,1,19,2,1,Production,Approved,HIGH
TR00050,MM,4,26,0,2,Quality,Approved,MEDIUM
TR00051,MM,6,41,2,0,Quality,Rejected,HIGH
TR00052,HR,5,105,0,1,Development,Approved,MEDIUM
TR00053,FI,2,104,1,3,Production,Rejected,HIGH
TR00054,SD,2,110,2,0,Quality,Approved,HIGH
TR00055,MM,2,114,1,2,Quality,Approved,MEDIUM
TR00056,MM,4,52,1,0,Quality,Pending,LOW
TR00057,HR,6,117,2,2,Development,Approved,HIGH
TR00058,SD,2,84,1,0,Development,Rejected,MEDIUM
TR00059,SD,4,87,2,0,Quality,Rejected,HIGH
TR00060,FI,6,65,0,1,Quality,Pending,HIGH
TR00061,SD,5,50,2,0,Production,Pending,HIGH
TR00062,HR,3,61,2,2,Production,Approved,HIGH
TR00063,HR,6,105,0,2,Quality,Rejected,MEDIUM
TR00064,SD,3,36,1,2,Quality,Pending,MEDIUM
TR00065,MM,5,70,2,1,Production,Approved,HIGH
TR00066,SD,1,114,0,2,Development,Approved,MEDIUM
TR00067,FI,2,70,2,0,Quality,Pending,HIGH
TR00068,MM,6,99,1,3,Quality,Approved,HIGH
TR00069,FI,1,109,1,1,Development,Rejected,MEDIUM
TR00070,FI,5,41,0,3,Development,Pending,HIGH
TR00071,SD,4,88,2,3,Production,Pending,HIGH
TR00072,HR,4,43,0,2,Production,Pending,MEDIUM
TR00073,SD,4,19,2,2,Development,Pending,HIGH
TR00074,FI,2,29,0,3,Production,Approved,HIGH
TR00075,FI,4,62,1,3,Quality,Approved,HIGH
TR00076,HR,4,108,2,0,Production,Pending,HIGH
TR00077,SD,3,106,1,3,Production,Rejected,HIGH
TR00078,MM,4,38,1,3,Quality,Approved,HIGH
TR00079,HR,6,31,1,1,Production,Rejected,MEDIUM
TR00080,FI,1,92,1,1,Quality,Approved,MEDIUM
TR00081,SD,2,68,1,2,Quality,Pending,MEDIUM
TR00082,HR,3,116,0,3,Development,Rejected,HIGH
TR00083,SD,2,93,0,0,Development,Approved,MEDIUM
TR00084,FI,5,29,0,1,Quality,Rejected,LOW
TR00085,MM,4,99,1,2,Development,Rejected,MEDIUM
TR00086,FI,2,49,0,0,Quality,Rejected,LOW
TR00087,HR,4,101,0,0,Production,Rejected,MEDIUM
TR00088,MM,1,99,1,0,Production,Approved,MEDIUM
TR00089,HR,6,57,0,2,Development,Pending,MEDIUM
TR00090,FI,4,56,2,3,Production,Approved,HIGH
TR00091,SD,5,113,2,3,Quality,Pending,HIGH
TR00092,SD,3,119,0,0,Quality,Pending,MEDIUM
TR00093,HR,5,88,2,3,Quality,Approved,HIGH
TR00094,SD,2,72,0,2,Quality,Pending,MEDIUM
TR00095,SD,5,11,2,1,Development,Approved,HIGH
TR00096,HR,5,107,0,3,Production,Rejected,HIGH
TR00097,FI,1,47,0,3,Production,Approved,HIGH
TR00098,SD,4,80,2,2,Quality,Rejected,HIGH
TR00099,SD,6,68,1,2,Quality,Approved,MEDIUM
TR00100,MM,3,25,2,1,Development,Approved,HIGH
TR00101,SD,6,85,2,2,Development,Approved,HIGH
TR00102,SD,2,48,0,1,Quality,Approved,LOW
TR00103,SD,6,26,2,3,Development,Approved,HIGH
TR00104,HR,4,66,1,1,Development,Pending,LOW
TR00105,HR,1,115,0,3,Quality,Approved,HIGH
TR00106,FI,2,29,2,2,Development,Approved,HIGH
TR00107,HR,5,86,2,1,Production,Pending,HIGH
TR00108,HR,3,120,2,3,Quality,Rejected,HIGH
TR00109,FI,2,90,0,2,Production,Approved,MEDIUM
TR00110,MM,5,19,0,0,Quality,Pending,LOW
TR00111,HR,3,14,0,2,Production,Pending,MEDIUM
TR00112,HR,1,97,0,2,Production,Rejected,MEDIUM
TR00113,MM,4,24,2,1,Production,Approved,HIGH
TR00114,MM,1,17,0,2,Production,Rejected,MEDIUM
TR00115,SD,4,25,1,2,Production,Pending,MEDIUM
TR00116,HR,4,20,2,0,Quality,Rejected,HIGH
TR00117,SD,1,21,0,0,Production,Pending,LOW
TR00118,MM,4,76,2,3,Quality,Approved,HIGH
TR00119,HR,6,114,1,0,Quality,Pending,MEDIUM
TR00120,SD,6,23,0,2,Quality,Rejected,MEDIUM
TR00121,HR,5,14,1,0,Quality,Pending,LOW
TR00122,HR,5,115,0,3,Quality,Approved,HIGH
TR00123,SD,5,106,1,3,Development,Approved,HIGH
TR00124,MM,3,66,2,3,Development,Approved,HIGH
TR00125,MM,6,30,1,0,Production,Pending,LOW
TR00126,FI,4,25,2,1,Quality,Rejected,HIGH
TR00127,SD,4,116,1,3,Development,Pending,HIGH
TR00128,HR,2,86,2,1,Development,Pending,HIGH
TR00129,HR,3,110,2,2,Development,Pending,HIGH
TR00130,HR,2,67,2,3,Quality,Pending,HIGH
TR00131,HR,4,51,0,1,Production,Pending,LOW
TR00132,HR,1,50,2,3,Production,Pending,HIGH
TR00133,MM,4,14,0,2,Development,Pending,MEDIUM
TR00134,HR,1,102,0,3,Production,Approved,MEDIUM
TR00135,SD,5,98,1,0,Quality,Rejected,MEDIUM
TR00136,HR,3,90,2,3,Production,Approved,HIGH
TR00137,MM,6,97,1,1,Production,Approved,MEDIUM
TR00138,FI,6,100,0,3,Development,Rejected,HIGH
TR00139,FI,1,51,0,2,Quality,Pending,MEDIUM
TR00140,MM,5,62,2,1,Development,Approved,MEDIUM
TR00141,MM,4,84,0,1,Quality,Rejected,MEDIUM
TR00142,SD,6,11,1,2,Production,Rejected,MEDIUM
TR00143,HR,3,85,1,3,Production,Pending,HIGH
TR00144,SD,2,59,1,0,Development,Pending,LOW
TR00145,SD,6,47,0,3,Quality,Approved,HIGH
TR00146,FI,5,105,1,2,Development,Rejected,MEDIUM
TR00147,MM,6,34,2,2,Production,Rejected,HIGH
